Model,Test Accuracy,Precision,Recall,F1 Score,CV Mean Accuracy
Decision Tree,0.3170731707317073,0.29352396972245587,0.3170731707317073,0.2943089430894309,0.3170731707317073
Naive Bayes,1.0,1.0,1.0,1.0,1.0
